thresh,biocontrol,type,period,rep,pdoug,avg_pop
0.2,150,100% multi-capsid morphotype,1,14,18,3.3300336005255433
0.2,150,100% multi-capsid morphotype,1,15,18,3.826410811559411
0.2,150,100% multi-capsid morphotype,1,16,18,3.4426041614989686
0.2,150,100% multi-capsid morphotype,1,17,18,4.161635976536801
0.2,150,100% multi-capsid morphotype,1,18,18,4.156528834896454
0.2,150,100% multi-capsid morphotype,1,19,18,4.959171911641114
0.2,150,100% multi-capsid morphotype,1,20,18,3.143234292035362
0.2,150,100% multi-capsid morphotype,2,1,18,3.1184989073657485
0.2,150,100% multi-capsid morphotype,2,2,18,2.7285419065384673
0.2,150,100% multi-capsid morphotype,2,3,18,2.3908232009871777
0.2,150,100% multi-capsid morphotype,2,4,18,2.2827994476434874
0.2,150,100% multi-capsid morphotype,2,5,18,3.391955253660279
0.2,150,100% multi-capsid morphotype,2,6,18,2.4710090316875917
0.2,150,100% multi-capsid morphotype,2,7,18,3.6622776198356344
0.2,150,100% multi-capsid morphotype,2,8,18,2.9550252976957014
0.2,150,100% multi-capsid morphotype,2,9,18,4.0083797363513
0.2,150,100% multi-capsid morphotype,2,10,18,2.7854919794860082
0.2,150,100% multi-capsid morphotype,2,11,18,3.989251485067265
0.2,150,100% multi-capsid morphotype,2,12,18,3.3984562657622313
0.2,150,100% multi-capsid morphotype,2,13,18,2.8328275862099352
0.2,150,100% multi-capsid morphotype,2,14,18,2.4853927338961532
0.2,150,100% multi-capsid morphotype,2,15,18,2.9505696859742234
0.2,150,100% multi-capsid morphotype,2,16,18,3.387397948065491
0.2,150,100% multi-capsid morphotype,2,17,18,2.9603347898672805
0.2,150,100% multi-capsid morphotype,2,18,18,4.232013796342701
0.2,150,100% multi-capsid morphotype,2,19,18,2.6696110641580693
0.2,150,100% multi-capsid morphotype,2,20,18,2.9420730150432477
0.2,150,100% multi-capsid morphotype,3,1,18,2.799596453957181
0.2,150,100% multi-capsid morphotype,3,2,18,4.012798240988314
0.2,150,100% multi-capsid morphotype,3,3,18,3.4022727151019807
0.2,150,100% multi-capsid morphotype,3,4,18,3.0062437715227848
0.2,150,100% multi-capsid morphotype,3,5,18,3.473164167469453
0.2,150,100% multi-capsid morphotype,3,6,18,3.000094424762889
0.2,150,100% multi-capsid morphotype,3,7,18,4.272703405713195
0.2,150,100% multi-capsid morphotype,3,8,18,3.701920076957268
0.2,150,100% multi-capsid morphotype,3,9,18,3.4882783192424625
0.2,150,100% multi-capsid morphotype,3,10,18,2.7625649240623105
0.2,150,100% multi-capsid morphotype,3,11,18,4.956758349376992
0.2,150,100% multi-capsid morphotype,3,12,18,4.80739929465553
0.2,150,100% multi-capsid morphotype,3,13,18,2.41656911871642
0.2,150,100% multi-capsid morphotype,3,14,18,3.5439246624358227
0.2,150,100% multi-capsid morphotype,3,15,18,4.699387729442306
0.2,150,100% multi-capsid morphotype,3,16,18,4.5082887080420235
0.2,150,100% multi-capsid morphotype,3,17,18,4.181950917888567
0.2,150,100% multi-capsid morphotype,3,18,18,3.0790409372016314
0.2,150,100% multi-capsid morphotype,3,19,18,2.8115625240406663
0.2,150,100% multi-capsid morphotype,3,20,18,3.0046003931787495
0.2,200,100% multi-capsid morphotype,1,1,18,4.19224215093629
0.2,200,100% multi-capsid morphotype,1,2,18,3.232869094903344
0.2,200,100% multi-capsid morphotype,1,3,18,3.7802206064250603
0.2,200,100% multi-capsid morphotype,1,4,18,2.6899152476043664
0.2,200,100% multi-capsid morphotype,1,5,18,3.2385555998739366
0.2,200,100% multi-capsid morphotype,1,6,18,4.646457453210068
0.2,200,100% multi-capsid morphotype,1,7,18,3.1574271093645088
0.2,200,100% multi-capsid morphotype,1,8,18,3.405924518614799
0.2,200,100% multi-capsid morphotype,1,9,18,3.687773324493555
0.2,200,100% multi-capsid morphotype,1,10,18,3.7892354198858116
0.2,200,100% multi-capsid morphotype,1,11,18,3.23941595463825
0.2,200,100% multi-capsid morphotype,1,12,18,3.648141188839729
0.2,200,100% multi-capsid morphotype,1,13,18,3.9061390046849525
0.2,200,100% multi-capsid morphotype,1,14,18,3.7293199687029985
0.2,200,100% multi-capsid morphotype,1,15,18,3.582564304533808
0.2,200,100% multi-capsid morphotype,1,16,18,3.0795866215926355
0.2,200,100% multi-capsid morphotype,1,17,18,3.476592482641365
0.2,200,100% multi-capsid morphotype,1,18,18,2.5125220706808307
0.2,200,100% multi-capsid morphotype,1,19,18,4.306338913881772
0.2,200,100% multi-capsid morphotype,1,20,18,4.433449525129397
0.2,200,100% multi-capsid morphotype,2,1,18,2.2501501988472565
0.2,200,100% multi-capsid morphotype,2,2,18,2.711856798848456
0.2,200,100% multi-capsid morphotype,2,3,18,2.4905150417821313
0.2,200,100% multi-capsid morphotype,2,4,18,3.0408963500547483
0.2,200,100% multi-capsid morphotype,2,5,18,2.290158115795748
0.2,200,100% multi-capsid morphotype,2,6,18,2.1800388742222925
0.2,200,100% multi-capsid morphotype,2,7,18,3.811344264939085
0.2,200,100% multi-capsid morphotype,2,8,18,2.6336753823075187
0.2,200,100% multi-capsid morphotype,2,9,18,3.416312963741131
0.2,200,100% multi-capsid morphotype,2,10,18,2.4528567140390956
0.2,200,100% multi-capsid morphotype,2,11,18,2.630232061437087
0.2,200,100% multi-capsid morphotype,2,12,18,2.5603093012454927
0.2,200,100% multi-capsid morphotype,2,13,18,2.263895540960004
0.2,200,100% multi-capsid morphotype,2,14,18,2.4585234171107913
0.2,200,100% multi-capsid morphotype,2,15,18,2.5863022244982883
0.2,200,100% multi-capsid morphotype,2,16,18,2.5760201611274676
0.2,200,100% multi-capsid morphotype,2,17,18,2.3330821761992273
0.2,200,100% multi-capsid morphotype,2,18,18,2.542104576696892
0.2,200,100% multi-capsid morphotype,2,19,18,2.5457594709398226
0.2,200,100% multi-capsid morphotype,2,20,18,2.126809587390982
0.2,200,100% multi-capsid morphotype,3,1,18,3.981303745228798
0.2,200,100% multi-capsid morphotype,3,2,18,3.7141349979293965
0.2,200,100% multi-capsid morphotype,3,3,18,2.8244132198155105
0.2,200,100% multi-capsid morphotype,3,4,18,3.6060599553643353
0.2,200,100% multi-capsid morphotype,3,5,18,4.2046879715481325
0.2,200,100% multi-capsid morphotype,3,6,18,3.8495800427024927
0.2,200,100% multi-capsid morphotype,3,7,18,4.4597782017146494
0.2,200,100% multi-capsid morphotype,3,8,18,3.254461301445584
0.2,200,100% multi-capsid morphotype,3,9,18,3.1689455579513135
0.2,200,100% multi-capsid morphotype,3,10,18,3.7422085305276163
0.2,200,100% multi-capsid morphotype,3,11,18,3.021058692493564
0.2,200,100% multi-capsid morphotype,3,12,18,3.5690869247956996
