model,mean,sd,se_mean,X25.,X75.,X2.5.,X97.5.,params,level,morph,tree,isolate,param,mod_names,desc
5,2.951055436,1.041306472,0.005519743,2.258114656,3.731360615,0.70446568,4.727085461,"C_S[4,2]",isolate,SNPV,GR,9,C,mod65,nu and C vary by morph + tree
5,3.259501898,1.013422938,0.005179229,2.615145767,4.030345461,0.961729793,4.843391112,"C_S[5,2]",isolate,SNPV,GR,10,C,mod65,nu and C vary by morph + tree
5,3.362098336,0.922359055,0.00491073,2.777979243,4.056653877,1.304926204,4.843286905,"C_M[2,2]",isolate,MNPV,GR,2,C,mod55,nu and C vary by morph + tree
5,3.36533572,0.989854143,0.005349143,2.745070875,4.123695834,1.100571487,4.878359326,"C_M[3,2]",isolate,MNPV,GR,3,C,mod55,nu and C vary by morph + tree
5,3.217653219,0.993309883,0.005249637,2.58306851,3.960776527,1.015042677,4.835397882,"C_M[4,2]",isolate,MNPV,GR,4,C,mod55,nu and C vary by morph + tree
5,2.900691745,1.045545245,0.005829748,2.211509855,3.679102084,0.640041341,4.685847582,"C_M[5,2]",isolate,MNPV,GR,5,C,mod55,nu and C vary by morph + tree
5,0.011836119,0.00579006,2.91e-5,0.007742796,0.015395762,0.001742433,0.024596939,mu_M[1],grand,MNPV,DO,NA,nu,mod56,nu and C vary by morph + tree
5,0.007296022,0.004135958,2.19e-5,0.004341294,0.009553408,0.00102461,0.017238052,mu_M[2],grand,MNPV,GR,NA,nu,mod56,nu and C vary by morph + tree
5,2.97896158,0.666045714,0.004323854,2.533827106,3.444185004,1.621058298,4.228759954,muC_M[1],grand,MNPV,DO,NA,C,mod56,nu and C vary by morph + tree
5,3.195319718,0.714912316,0.004406997,2.722785727,3.716181989,1.680781501,4.448865048,muC_M[2],grand,MNPV,GR,NA,C,mod56,nu and C vary by morph + tree
5,3.241960953,1.02724316,0.005160907,2.589186609,4.027846164,0.932136288,4.850351348,"C_S[1,2]",isolate,SNPV,GR,6,C,mod65,nu and C vary by morph + tree
5,0.023448854,0.014870347,1.24e-4,0.013326491,0.028972639,0.006459967,0.065278307,"nu_bar_M[4,1]",isolate,MNPV,DO,4,nu,mod53,nu and C vary by morph + tree
5,0.018849415,0.012523897,9.99e-5,0.010542162,0.023146389,0.005067934,0.053506724,"nu_bar_M[5,1]",isolate,MNPV,DO,5,nu,mod53,nu and C vary by morph + tree
5,3.006561019,0.953853582,0.006776227,2.38689645,3.687472661,0.957006323,4.705199062,"C_M[1,1]",isolate,MNPV,DO,1,C,mod53,nu and C vary by morph + tree
5,2.7085495,1.005810218,0.007253444,2.032124447,3.432435252,0.605122864,4.538302202,"C_M[2,1]",isolate,MNPV,DO,2,C,mod53,nu and C vary by morph + tree
5,0.004159258,0.003148265,1.59e-5,0.001941393,0.005541675,3.29e-4,0.01242615,mu_S[2],grand,SNPV,GR,NA,nu,mod75,nu and C vary by morph + tree
5,3.495377975,0.617656486,0.003706757,3.101126161,3.939628404,2.159893167,4.559996953,muC_S[1],grand,SNPV,DO,NA,C,mod75,nu and C vary by morph + tree
5,0.011854068,0.005710695,3.7e-5,0.007825337,0.015374242,0.001893457,0.024480091,mu_M[1],grand,MNPV,DO,NA,nu,mod53,nu and C vary by morph + tree
5,0.007294142,0.004165167,2.79e-5,0.004313366,0.009562208,0.001044915,0.017349453,mu_M[2],grand,MNPV,GR,NA,nu,mod53,nu and C vary by morph + tree
5,2.972572864,0.668350922,0.00542619,2.522787843,3.440742767,1.606436386,4.214851853,muC_M[1],grand,MNPV,DO,NA,C,mod53,nu and C vary by morph + tree
5,3.190798655,0.716055995,0.005741406,2.722113,3.710719023,1.679903308,4.454243326,muC_M[2],grand,MNPV,GR,NA,C,mod53,nu and C vary by morph + tree
5,0.013678886,0.010836084,7.63e-5,0.006468651,0.017422844,0.002199844,0.04270458,"nu_bar_M[1,1]",isolate,MNPV,DO,1,nu,mod53,nu and C vary by morph + tree
5,0.014896749,0.010683773,7.65e-5,0.007871568,0.018652628,0.003219617,0.04308138,"nu_bar_M[2,1]",isolate,MNPV,DO,2,nu,mod53,nu and C vary by morph + tree
5,0.012185702,0.0102374,6.62e-5,0.005276382,0.01587777,0.001450629,0.039033484,"nu_bar_M[3,1]",isolate,MNPV,DO,3,nu,mod53,nu and C vary by morph + tree
